,author,statement,source,date,target
407,Eric Litke,“More than 91% of the spending in this $1.9 trillion package is not used for pandemic relief.”,Scott Fitzgerald,"March 1, 2021",barely-true
408,D.L. Davis,"“Biden’s plan will immediately let in 25,000 asylum-seekers who’d been waiting in Mexico as their cases were judged.”",Ron Johnson,"March 1, 2021",barely-true
409,John Pullano,"“New York, for all of their complaining, Gov. Cuomo's complaining, has only had a 1.5% decrease in revenue” due to the coronavirus pandemic.",Bill Cassidy,"February 26, 2021",barely-true
410,Samantha Putterman,"Due to differing lockdown orders, New York has more COVID-19 cases, deaths, hospitalizations and job losses than Florida, and New York also lags on vaccinations.",Instagram posts,"February 26, 2021",barely-true
411,Tom Kertscher,"Only Nancy Pelosi is “responsible for what happened at the Capitol” on Jan. 6, “security at the Capitol is her job.”",Facebook posts,"February 25, 2021",barely-true
412,Ciara O'Rourke,“Monticello power plant just outside of Pittsburg TX has been closed since 2018 because of renewable energy.”,Viral image,"February 23, 2021",barely-true
413,Ciara O'Rourke,"“Heidi Cruz, Ted’s wife, is managing director of Goldman Sachs. They oversee the Texas utilities.”",Facebook posts,"February 23, 2021",barely-true
414,Phil Galewitz,"The result of lockdowns “has been the destruction of millions of lives across America as well as increased deaths from suicide, substance abuse and despair without any corresponding benefit in Covid mortality.”",Ron DeSantis,"February 23, 2021",barely-true
415,Landon Allison,Said Rep. Alexandria Ocasio-Cortez and her allies “blocked a resolution condemning anti-Semitism — which I passed unanimously in the Senate.”,Ted Cruz,"February 18, 2021",barely-true
416,Jon Greenberg,"“There is a consensus among economists left, right, and center… that we can’t spend too much” on COVID-19 relief.",Joe Biden,"February 18, 2021",barely-true
417,Tom Kertscher,“The United States was energy independent in 2019 for the first time since 1957. In just 10 days we are sent back 50 years.”,Facebook posts,"February 18, 2021",barely-true
418,Tom Kertscher,Says Joe Biden “will redirect the $30 billion” that Donald Trump “left for U.S. farmers to ‘climate change.’”,Facebook posts,"February 18, 2021",barely-true
419,Daniel Funke,"""Schools are trying to make a law that teachers can see girls' private parts to make sure they're not trans.""",TikTok posts,"February 17, 2021",barely-true
420,Miriam Valverde,"“For the first time in American history, if you're seeking asylum ... you can't do it from the United States. … You’ve got to seek asylum from abroad.”",Joe Biden,"February 17, 2021",barely-true
421,Noah Y.,Says death reports in federal database show the fatal risk of COVID-19 vaccines.,Facebook posts,"• February 16,",barely-true
422,Tom Kertscher,Says Joe Biden’s order stopping the Keystone pipeline “made oil more expensive for us to use.”,Facebook posts,"February 15, 2021",barely-true
423,Bill McCarthy,"“You may not have stayed in a hotel in the past year, but illegals arriving since Biden’s inauguration, they get to stay free of charge.”",Laura Ingraham,"February 15, 2021",barely-true
424,Daniel Funke,"After the Capitol insurrection, “one of the first people arrested was a leader of antifa.""",Michael van der Veen,"February 12, 2021",barely-true
425,Carmen Heredia,"South Dakota ""did have tragedies and we did have losses. But we also got through (the pandemic) better than virtually every other state.""",Kristi Noem,"• February 12,",barely-true
426,Samantha Putterman,“President Biden is raising the prices of insulin and Epi-Pens on those with high costs and the uninsured.”,Mark Walker,"February 11, 2021",barely-true
427,Tom Kertscher,"""The Biden family is so heavily invested in oil and energy in other countries.""",Facebook posts,"February 10, 2021",barely-true
428,Samantha Putterman,“Pfizer and Moderna could share their design with dozens of other pharma companies who stand ready to produce their vaccines and end the pandemic.”,Facebook posts,"February 9, 2021",barely-true
429,Victoria Knight,“Now (Biden) is saying that people who came here illegally can jump ahead of other Americans who have been waiting to get the vaccine.”,Steve Scalise,"February 8, 2021",barely-true
430,Jon Greenberg,"Says Rep. Brian Fitzpatrick, R-Pa., “stood with Trump and the lies… He stood with QAnon, not you.”",DCCC,"February 5, 2021",barely-true
431,Jon Greenberg,"States are seeing increases in revenue, with an average decline of just 0.12% compared with 2019. Over half of states report positive growth, including California, New York, and Illinois.",Rick Scott,"February 5, 2021",barely-true
432,Louis Jacobson,"Under the 2017 tax law, “people who make under $75,000 will have their taxes raised in 2021 and every 2 years after that until 2027.”",Facebook posts,"February 5, 2021",barely-true
433,Ciara O'Rourke,"Says Denzel Washington said, “I support police over BLM, don’t put them down!”",Bloggers,"February 4, 2021",barely-true
434,Eric Litke,Gov. Tony Evers “has the authority and revenue necessary” to upgrade the Wisconsin unemployment system without the Legislature.,Jim Steineke,"February 3, 2021",barely-true
435,Noah Y.,“Donald Trump is the first president in modern history (who) did not start a new war.”,Donald Trump Jr.,"• February 2,",barely-true
436,Tom Kertscher,Says Nancy Pelosi bought $1.25 million in Tesla stock the day before Joe Biden signed an order “for all federal vehicles” to be electric.,Facebook posts,"February 2, 2021",barely-true
437,Bill McCarthy,"Congressional benefits include “free health care, outrageous retirement packages, 67 paid holidays, three weeks paid vacation, unlimited paid sick days.”",Facebook posts,"February 1, 2021",barely-true
438,Daniel Funke,Says Joe Biden is “following through with a fracking ban.”,Facebook posts,"January 28, 2021",barely-true
439,Tom Kertscher,"Soybeans dropped 70 cents and corn 50 cents per bushel in two days, causing farmers to lose big money, “thanks to Biden’s executive orders.”",Facebook posts,"January 28, 2021",barely-true
440,Eric Litke,“The U.S. Senate cannot convict a former President.”,Scott Walker,"January 28, 2021",barely-true
441,Amy Sherman,"""The process to distribute the vaccine, particularly outside of nursing homes and hospitals out into the community as a whole, did not really exist when we came into the White House.""",Ron Klain,"January 27, 2021",barely-true
442,Jill Terreri,"“We have scientific data, from all different levels, but particularly from the high school sports levels, from numerous different states that shows that it is safe to play what New York is considering high-risk sports.”",Colin Schmitt,"• January 26,",barely-true
443,Jon Greenberg,"The Paris Climate Agreement is “bad for America,” because it ""does nothing to hold real polluters, like Communist China and India, accountable.""",Rick Scott,"January 26, 2021",barely-true
444,Tom Kertscher,Says Maxine Waters said Trump supporters are “not welcome here” and “we must welcome everyone who crosses our borders.”,Facebook posts,"January 25, 2021",barely-true
445,Monique Curet,Says President Joe Biden sparked a migrant caravan from Honduras and questioned the loyalty of U.S. troops at the inauguration.,Restoration PAC,"January 25, 2021",barely-true
446,Monique Curet,"The COVID-19 vaccine is dangerous because 23 people died in Norway ""within hours” of receiving it.",Facebook posts,"January 19, 2021",barely-true
447,Tom Kertscher,"“CNN-NPR photojournalist Jade Sacker was embedded with antifa leader"" during the U.S. Capitol attack.",Facebook posts,"January 18, 2021",barely-true
448,Miriam Valverde,Says a photo shows armed soldiers protecting Joe Biden’s inauguration.,Facebook posts,"January 16, 2021",barely-true
449,Tom Kertscher,“Coronavirus vaccinations seem to be causing 50 times the adverse events of flu vaccinations after just the first of two shots.”,Facebook posts,"January 15, 2021",barely-true
450,Bill McCarthy,Says Rep. Pramila Jayapal was not wearing a mask in Congress during the U.S. Capitol mob.,Facebook posts,"January 14, 2021",barely-true
451,Jill Terreri,"“There were several states where outside actors dramatically changed the rules of the road, so to speak, two weeks out, one week out, on how elections would be run.”",Chris Jacobs,"• January 13,",barely-true
452,Noah Y.,"“The U.S. Department of State … released a statement on their website stating that Donald J. Trump's term ended” on Jan. 11, 2021.",Facebook posts,"• January 12,",barely-true
453,Daniel Funke,"A second impeachment means Donald Trump loses his lifetime pension, travel allowance, Secret Service detail, and his ability to run for public office.",Facebook posts,"January 11, 2021",barely-true
454,Bill McCarthy,Says left-wing activist John Sullivan “incited (the) insurgence of (the) US Capitol.”,Facebook posts,"January 8, 2021",barely-true
455,Noah Y.,An image shows National Guard at the Capitol during the Black Lives Matter protests in D.C.,Facebook posts,"• January 8,",barely-true
456,Daniel Funke,"32,000 votes for David Perdue “disappeared” during the Georgia Senate runoff election.",Facebook posts,"January 8, 2021",barely-true
457,Amy Sherman,"“Last year, Pennsylvania elected officials passed a whole new law that allows universal mail-in balloting, and did it irregardless of what the Pennsylvania Constitution said.”",Josh Hawley,"January 8, 2021",barely-true
458,William Skipworth,"Says activists threatened his family and “screamed threats, vandalized, and tried to pound open our door.”",Josh Hawley,"January 8, 2021",barely-true
459,Samantha Putterman,Quotes show Democrats supported riots “when BLM was BURNING down cities and killing people in the streets!”,Facebook posts,"January 7, 2021",barely-true
460,Tom Kertscher,"Voting machines didn’t work in heavily GOP areas for the Georgia runoff elections, leaving some voters unable to cast ballots.",Facebook posts,"January 7, 2021",barely-true
461,Ciara O'Rourke,"Google and Apple maps won’t give directions to Washington, D.C. because “they don’t want you going to a certain big rally.”",Facebook posts,"January 6, 2021",barely-true
462,Miriam Valverde,"“39% of Americans … 31% of independents ... 17% of Democrats believe the election was rigged.""",Ted Cruz,"January 6, 2021",barely-true
463,Louis Jacobson,Says a recent study found no asymptomatic or presymptomatic spread of COVID.,Facebook posts,"December 28, 2020",barely-true
464,Miriam Valverde,"Says COVID-19 relief bill “provides more funding to foreign governments and to American arts centers, than to the American people.”",Facebook posts,"December 22, 2020",barely-true
465,Miriam Valverde,“Nurse passes out on live TV after taking vaccine.”,Facebook posts,"December 21, 2020",barely-true
466,Tom Kertscher,"Says Raphael Warnock has ""said we need to open up the prisons"" and ""eliminate cash bail.""",Kelly Loeffler,"December 18, 2020",barely-true
467,Tom Kertscher,"Says Jon Ossoff ""wants total, blanket amnesty and he wants a total lockdown.""",David Perdue,"December 14, 2020",barely-true
468,Ciara O'Rourke,“FDA announces 2 deaths of Pfizer vaccine trial participants from ‘serious adverse events.’”,Bloggers,"December 11, 2020",barely-true
469,Miriam Valverde,"“40 years of research, and no vaccine for HIV. At least 100 years of research and no vaccine for cancer. Ongoing research and no vaccine for the common cold. Now in less than a year, there's a vaccine for COVID-19?”",Facebook posts,"December 10, 2020",barely-true
470,Daniel Funke,"""The FDA knows that rushed-to-market COVID-19 vaccines may cause a wide range of life-threatening side effects, including death.""",Bloggers,"December 9, 2020",barely-true
471,Paul Specht,The National Institutes of Health “states that regular marijuana use can reduce IQ by 8 points.”,David Rouzer,"December 8, 2020",barely-true
472,Madison Czopek,"“The first randomized controlled trial of more than 6,000 individuals to assess the effectiveness of surgical face masks against SARS-CoV-2 infection found masks did not statistically significantly reduce the incidence of infection.""",Viral image,"December 7, 2020",barely-true
473,Amy Sherman,“No state in the country verifies United States citizenship as a condition for voting in federal elections.”,Donald Trump,"December 7, 2020",barely-true
474,Noah Y.,"“Supreme Court Shakes Up 2020 Election, Assigns Conservatives To Swing State Circuit Courts.”",GOP Daily Brief,"• December 2,",barely-true
475,Tom Kertscher,"Says Raphael Warnock defended the “hatred” of Jeremiah Wright, the pastor who said “not God bless America, God damn America,” and gave Wright “an award for truth telling.”",Kelly Loeffler,"December 1, 2020",barely-true
476,Ciara O'Rourke,“Pennsylvania just banned alcohol sales.”,Viral image,"November 24, 2020",barely-true
477,Bill McCarthy,"“666,000 teachers have been laid off already since March.""",Joe Biden,"November 20, 2020",barely-true
478,Tom Kertscher,“David Perdue says he'll do everything in his power to make sure Joe Biden fails.”,Jon Ossoff,"November 20, 2020",barely-true
479,Samantha Putterman,"Says “47 additional counties used the same software that caused a ‘glitch’ in Antrim County (that switched 6,000 votes from Trump to Biden in that county)” and votes in the state are “potentially fraudulent.”",Ted Nugent,"November 18, 2020",barely-true
480,Daniel Funke,"""Voter FRAUD exposed in Georgia. Over 2600 votes 'FOUND.'""",Facebook posts,"November 18, 2020",barely-true
481,Tom Kertscher,"Says Raphael Warnock ""ran over his wife"" and was ""arrested for obstructing an investigation into child abuse.""",Erick Erickson,"November 16, 2020",barely-true
482,Tom Kertscher,Says Raphael Warnock “celebrated Fidel Castro and welcomed him to his church.”,Kelly Loeffler,"November 13, 2020",barely-true
483,D.L. Davis,"""Across the state the rejection rate for ballots went way down” in the Nov. 3 election.",Ben Wikler,"November 13, 2020",barely-true
484,Jon Greenberg,Says Nancy Pelosi has “suspicious ties” to a voting software company that was involved in glitches that favored Joe Biden.,Bloggers,"November 9, 2020",barely-true
485,Hayat Norimine,"Officials in Fairfax, Va., gave 100,000 Trump votes to Biden.",Facebook posts,"November 7, 2020",barely-true
486,Jon Greenberg,"“When large numbers of people in Butler (Pa.) started killing themselves with narcotics, no one in Washington or New York or Los Angeles said a word about it.”",Tucker Carlson,"November 5, 2020",barely-true
487,Bill McCarthy,"Broken voting machines in Russellville, Ark., tried to automatically tally votes meant for Donald Trump as votes for Joe Biden.",Viral image,"November 3, 2020",barely-true
488,Ciara O'Rourke,Pennsylvania officials are “attempting to silence voters” by sending them letters that say they’ve been exposed to COVID-19 and “must remain quarantined and not vote in person on Election Day.”,Facebook posts,"November 2, 2020",barely-true
489,Miriam Valverde,"In Massachusetts, ""anybody can go vote for anybody so long as they have their information. … They're not even checking IDs at the polling stations.""",TikTok posts,"November 2, 2020",barely-true
490,Amy Sherman,"“Joe Biden and Kamala Harris’ government-run health care plan… could lead to hospitals being closed, put Medicare coverage at risk, and give benefits to illegal immigrants.”",Donald Trump,"November 1, 2020",barely-true
491,Dijonee Davis,"A lawsuit against the Affordable Care Act backed by West Virginia Attorney General Patrick Morrisey “would eliminate health care for over 800,000 West Virginians.”",Sam Brown Petsonk,"November 1, 2020",barely-true
492,Ciara O'Rourke,“Joe Biden calls Pennsylvania voters who don’t support him ‘chumps.’”,Viral image,"October 30, 2020",barely-true
493,Jessica Calefati,“Major decision protecting voting rights in Pa. Ballots received after Election Day will not be counted.”,Justin Clark,"October 29, 2020",barely-true
494,Veronica Mohesky,“The Columbia school buildings in my district have the lowest test scores in all of Boone County.”,Cheri Toalson Reisch,"October 29, 2020",barely-true
495,Victoria Knight,"“Because our family couldn’t afford health insurance, Obama/Biden penalized us about $10,000, then took that $10,000 and used it to pay for others’ free Obamacare. Trump ended that theft.”",Facebook posts,"October 28, 2020",barely-true
496,Bill McCarthy,"“President Obama would never give them long-term funding, and I did … I saved historically Black colleges and universities.”",Donald Trump,"October 27, 2020",barely-true
497,Daniel Funke,“CAN I CHANGE MY VOTE? ... The answer in most states is YES.”,Donald Trump,"October 27, 2020",barely-true
498,Bill McCarthy,"""We have a mayor in D.C. who formed a commission with recommendations. Her recommendation is: Take down the Washington Monument, close up the Lincoln Monument.""",Donald Trump,"October 26, 2020",barely-true
499,Haley BeMiller,"""Generally the deaths are still pretty flat because we've flattened the curve.”",Ron Johnson,"October 23, 2020",barely-true
500,Bill McCarthy,"As part of the Obama administration's criminal justice reforms, “38,000 prisoners were released from federal prison.”",Joe Biden,"October 23, 2020",barely-true
501,Hayat Norimine,"Says Joe Biden owns four $3 million -$7.5 million homes on a $200,000 salary.",Viral image,"October 23, 2020",barely-true
502,Tom Kertscher,"Says Karen Handel ""slashed the Centers for Disease Control's ability to fight diseases, cutting millions in research funding.""",Lucy McBath,"October 23, 2020",barely-true
503,Samantha Putterman,"“When I closed (travel from China) he said I should not have closed. ...He said this is a terrible thing, you are a xenophobe, I think he called me racist. Now he says I should have closed it earlier.”",Donald Trump,"October 23, 2020",barely-true
504,Monique Curet,"Says Biden said, ""The day after I’m elected I will let you know what I stand for, bc if I tell you now it will be all over the news.""",Facebook posts,"October 22, 2020",barely-true
505,Ciara O'Rourke,"Kamala Harris’ husband said, “I am married to the next president of the United States.”",Facebook posts,"October 22, 2020",barely-true
506,Amy Sherman,“Phony” ballots “were printed without my name on it.”,Donald Trump,"October 21, 2020",barely-true
507,Ciara O'Rourke,"In the plot to kidnap Michigan Gov. Gretchen Whitmer, “the perps were ANTIFA and BLM anarchists.”",Viral image,"October 21, 2020",barely-true
508,Victoria Knight,“We saved 2 million people” from dying of COVID-19.,Donald Trump,"October 21, 2020",barely-true
509,Hayat Norimine,A mansion in photo is Joe Biden’s house.,Eric Trump,"October 20, 2020",barely-true
510,Jill Terreri,"""We're No. 46 out of 50 states... we're 46th in terms of percentage of deaths in nursing homes.""",Andrew Cuomo,"• October 16,",barely-true
511,Daniel Funke,Says Joe Biden’s “capital gains tax means that when you sell your home you’ll owe taxes of 40% of your profit!”,Facebook posts,"October 16, 2020",barely-true
512,Clara Hendrickson,“Hoadley called women ‘breeders.’... wanted to learn about crystal meth and wrote that his sexual partners were his victims. Hoadley even wrote about a four year-old wearing a thong.”,Congressional Leadership Fund,"October 16, 2020",barely-true
513,Jessica Calefati,“We’re putting our great coal miners back to work.”,Donald Trump,"October 14, 2020",barely-true
514,Bill McCarthy,"Says Joe Biden said, “You know, we have to come together. That’s why I’m running. I’m running as a proud Democrat for the Senate. So vote! Vote!”",Facebook posts,"October 14, 2020",barely-true
515,Madeline Heim,"No one under 20 has died of COVID-19, and ""it has not actually been determined yet"" that anyone under 20 can spread it to an older person",Van Wanggaard,"October 14, 2020",barely-true
516,Samantha Putterman,No one showed up for this Joe Biden and Kamala Harris joint campaign event in Arizona.,Facebook posts,"October 12, 2020",barely-true
517,Bill McCarthy,Video from 2019 shows Kamala Harris “caught in a major lie” about fracking during the 2020 vice presidential debate.,Bloggers,"October 12, 2020",barely-true
518,Ciara O'Rourke,"During the debate, Kamala Harris said, “that’s a great segway to the next question,” suggesting she knew the next question.",Facebook posts,"October 12, 2020",barely-true
519,Bill McCarthy,"Says Dr. Anthony Fauci said of Trump’s pandemic response, “I can’t imagine that … anybody could be doing more.”",Donald Trump,"October 11, 2020",barely-true
520,Paul Specht,"Says Thom Tillis voted “against a pay raise for a military, while voting for a pay raise for himself.”",VoteVets.org,"October 9, 2020",barely-true
521,Tom Kertscher,"When Sara Gideon “knew the truth about” sexual allegations against a state lawmaker, “she could have called for an immediate investigation, but didn’t…Gideon knew for months, using her power to cover up.”",National Republican Senatorial Committee,"October 9, 2020",barely-true
522,Brandon Mulder,Says “Property crime rising in Austin. This is the kind of thing that happens when cities defund and deemphasize police. Residents are left to fend for themselves.”,Greg Abbott,"October 9, 2020",barely-true
523,Clara Hendrickson,"Eric Esshaki “would allow insurance companies to kick people with a preexisting condition off their plans in the middle of a pandemic, including over 100,000 Michiganders who have survived COVID-19.”",Haley Stevens,"October 7, 2020",barely-true
524,Samantha Putterman,"“South Dakota, Idaho, Florida, Tennessee & Georgia are now mask FREE!”",Facebook posts,"October 7, 2020",barely-true
525,Alex Sakariassen,"Says he ""fights for everyone with a preexisting condition.”",Matthew Rosendale,"October 6, 2020",barely-true
526,Madeline Heim,“I brought back Big Ten football.”,Donald Trump,"October 6, 2020",barely-true
527,Tom Kertscher,Says Susan Collins “pushed for policies that benefited her husband’s lobbying business.”,Sara Gideon,"October 5, 2020",barely-true
528,Xander Landen,“Our governor proposed initially a 5% cut across the board of state government.”,David Zuckerman,"October 2, 2020",barely-true
529,Jon Greenberg,President Barack Obama and Vice President Joe Biden “left me 128 judges to fill. You just don’t do that.”,Donald Trump,"October 2, 2020",barely-true
530,Samantha Putterman,"“9,871,525 is the number of registered voters in AZ according to FB. AZ population is 7,270,000.”",Facebook posts,"October 1, 2020",barely-true
531,Bill McCarthy,"President Donald Trump’s tax returns show “what any wealthy person's tax history is, if you can believe it — which is good years and bad years, years of immense taxes and years of almost no taxes at all because you carry over losses.”",Hugh Hewitt,"September 30, 2020",barely-true
532,Monique Curet,“BLM Activist kills three people in a Louisville bar wearing a Breonna Taylor tee shirt last Friday.”,Peggy Hubbard,"September 30, 2020",barely-true
533,Ciara O'Rourke,Photo shows “all the men who have killed police officers this year (2020).”,Viral image,"September 30, 2020",barely-true
534,Louis Jacobson,“We have a higher deficit with China now than we did before.”,Joe Biden,"September 30, 2020",barely-true
535,Noah Crider,"Ranked-choice voting “increases voter turnout and voter engagement.""",Kelley Dragoo,"September 29, 2020",barely-true
536,D.L. Davis,"""At the Democratic convention, the Pledge of Allegiance was read with the words 'under God' removed.""",Republican Party of Wisconsin,"September 27, 2020",barely-true
537,Daniel Funke,"A U-Haul operated by antifa activists distributed “shields, weapons & black bloc” to protesters in Louisville, Ky., and is linked to “a George Soros-funded initiative.”",Facebook posts,"September 24, 2020",barely-true
538,Miriam Valverde,Says Joe Biden “tried to cut Social Security and Medicare for decades. … Now Biden’s promising your benefits to illegal immigrants.”,Donald Trump,"September 24, 2020",barely-true
539,Tom Kertscher,"""When California faced a budget crisis,"" Christy Smith ""voted to lay off teachers and then voted to increase her pay.""",Congressional Leadership Fund,"September 24, 2020",barely-true
540,Clara Hendrickson,“Only one” Black-owned restaurant in Michigan received a loan through the Paycheck Protection Program,Kamala Harris,"September 24, 2020",barely-true
541,Clara Hendrickson,Says “John James supported Betsy DeVos’ agenda to cut public school funding and put it into wealthy private schools instead.”,Senate Majority PAC,"September 24, 2020",barely-true
542,Noah Y.,"""Biden wants to end Shareholder Capitalism.. that's your 401k..your pensions.. your retirement.. are you voting for that???""",Facebook posts,"• September 23,",barely-true
543,Paul Specht,Says “some people in the Great State of North Carolina have been sent TWO BALLOTS. RIGGED ELECTION in waiting!”,Donald Trump,"September 22, 2020",barely-true
544,Hayat Norimine,“PHIL MURPHY ONLY ALLOWING IN PERSON VOTING ON Election Day AT PRUDENTIAL CENTER IN NEWARK NJ - Calling it a #SuperPollingStation”,Facebook posts,"September 21, 2020",barely-true
545,Clara Hendrickson,"""Candidate Slotkin had presented herself as a moderate and as someone who’d be independent-minded, but her time in office was making it increasingly clear that no, she was very partisan, voting 96% of the time with Speaker Pelosi.""",Paul Junge,"September 21, 2020",barely-true
546,Madison Czopek,"“Last year alone, 10 million fell ill from TB and 1.5 million died. ... Why don’t we wear masks for TB?”",Viral image,"September 18, 2020",barely-true
547,Tom Kertscher,"Says that to help people in need during the coronavirus pandemic, Mike Garcia said: ""Everyone should have to figure out how to fend for themselves.""",Democratic Congressional Campaign Committee,"September 18, 2020",barely-true
548,Eric Litke,"“So far, out of 175 arrested in Kenosha, 102 were not from Kenosha. Rioting has become its own industry.”",Facebook posts,"September 18, 2020",barely-true
549,Ciara O'Rourke,“Houston Texans coming out for the Black National Anthem then going into the locker room for THE REAL NATIONAL ANTHEM is DISGRACEFUL.”,Facebook posts,"September 15, 2020",barely-true
550,Paul Specht,"""All evidence points to the fact that our kids are 17 times more likely to have ill effects from the seasonal flu than they are from the coronavirus.”",Dan Forest,"September 14, 2020",barely-true
551,Louis Jacobson,"“$400,000 ... is more money than I’ve ever made” in a year.",Joe Biden,"September 10, 2020",barely-true
552,Amy Sherman,"Election officials are “sending 80 million ballots all over the country. Eighty million ballots, non-requested. I call them ‘unsolicited ballots.’”",Donald Trump,"September 10, 2020",barely-true
553,Noah Y.,“South Korea sprays rioters with dye so they can be identified & arrested later.”,Facebook posts,"• September 8,",barely-true
554,Eric Litke,"“A Black man invented the light bulb, not a white guy named Edison.”",Joe Biden,"September 4, 2020",barely-true
555,Jon Greenberg,"""If Trump gets his way, Social Security benefits will run out in just three years from now.”",Joe Biden,"September 4, 2020",barely-true
556,Tom Kertscher,"Kelly Loeffler has a ""long history of donating to abortion-on-demand Democrats.""",Doug Collins,"September 4, 2020",barely-true
557,Paul Specht,"“In some of these other states, some of their deaths can be attributable to the fact that they were having a hard time getting an ICU bed or a ventilator to a patient.”",Roy Cooper,"September 3, 2020",barely-true
558,Louis Jacobson,"Says Sen. Gary Peters, D-Mich., is ""known for doing nothing. … (Peters) skipped 84% of small business hearings (and) skipped 89% of hearings on China.""",John James,"August 31, 2020",barely-true
559,D.L. Davis,"Says Gov. Tony Evers and Lt. Gov. Mandela Barnes, after police shooting of Jacob Blake, ""did not call for peace. They did not encourage calm.",Howard Marklein,"August 28, 2020",barely-true
560,Jon Greenberg,“President Trump marshalled the full resources of our federal government from the outset. He directed us to forge a seamless partnership with governors across America in both political parties.”,Mike Pence,"August 27, 2020",barely-true
561,Tom Kertscher,Says Jill Schupp has shown a “disturbing pattern of putting sex offenders over our safety.”,Ann Wagner,"August 26, 2020",barely-true
562,Michelle Andrews,“Does the #DemConvention know @NYGovCuomo forced nursing homes across NY to take in COVID positive patients and planted the seeds of infection that killed thousands of grandmothers and grandfathers?”,Michael Caputo,"August 24, 2020",barely-true
563,Haley BeMiller,Kanye West’s access to Wisconsin’s ballot was “denied by liberals.”,Republican Party of Wisconsin,"August 21, 2020",barely-true
564,Daniel Funke,“The DNC omitted ‘one nation under God’ from the Pledge of Allegiance.”,Peggy Hubbard,"August 21, 2020",barely-true
565,Ciara O'Rourke,“The Post Office advises never send cash in the mail. It’s not secure. Vote by mail?”,Facebook posts,"August 21, 2020",barely-true
566,Bill McCarthy,"Says Joe Biden told Americans, ‘If you elect me, your taxes are going to be raised, not cut.”",America First,"August 20, 2020",barely-true
567,Paul Specht,“At UNC 14% of students tested positive.”,Chris Murphy,"August 20, 2020",barely-true
568,John Pullano,Says Gov. Andrew Cuomo and Democratic lawmakers are “granting free tuition to illegal immigrants while closing Excelsior Scholarship applications to citizen students.”,Robert Ortt,"August 20, 2020",barely-true
569,Noah Y.,Goodyear Tires “announced a BAN ON MAGA HATS…This is what the Radical Left Democrats do.”,Donald Trump,"• August 19,",barely-true
570,Noah Y.,“Doug Collins repeatedly joined liberal Stacey Abrams to raise taxes...Kelly’s never voted for a tax increase — and never will.”,Kelly Loeffler,"• August 17,",barely-true
571,Jill Terreri,“New York Mail-In voting is in a disastrous state of condition. Votes from many weeks ago are missing - a total mess. They have no idea what is going on. Rigged Election.”,Donald Trump,"• August 14,",barely-true
572,Tom Kertscher,"Says Susan Collins ""voted against accountability for opioid makers” and denied taking campaign money from a family who made its wealth selling OxyContin.",Senate Majority PAC,"August 14, 2020",barely-true
573,Tom Kertscher,Says Kamala Harris “advocated for restoring voting rights for the Boston bomber.”,Nancy Mace,"August 14, 2020",barely-true
574,Lawrence Andrea,"GOP-backed ""racist disenfrachisement"" led to only five polling places being open in Milwaukee for April 7 election.",Mandela Barnes,"August 14, 2020",barely-true
575,Jon Greenberg,"Says Donald Trump “just promised that if he wins reelection, he’ll gut Social Security and Medicare.”",Kamala Harris,"August 13, 2020",barely-true
576,Bill McCarthy,"Says Kamala Harris ""said she believed that Joe Biden committed sexual assault against various women.”",Tucker Carlson,"August 13, 2020",barely-true
577,Amy Sherman,"""Donald Trump says he will ‘terminate’ Social Security if re-elected.""",Social Security Works,"August 12, 2020",barely-true
578,Madison Czopek,Says series of 11 photos are “from the 1918 flu pandemic.”,Facebook posts,"August 12, 2020",barely-true
579,Sophie Austin,“The average cost of child care in this country is more than what it costs to send a child to college for one year.”,Linda Sánchez,"August 6, 2020",barely-true
580,Tom Kertscher,“California has six extra” congressional representatives “because illegals are counted” in the census.,Facebook posts,"August 6, 2020",barely-true
581,Miriam Valverde,"“Mark Kelly criticized the (Paycheck Protection Program), then turned around and took money for his own multi-million dollar company.”",Martha McSally,"August 6, 2020",barely-true
582,Ciara O'Rourke,Photo shows “7 Marines killed in training exercise yesterday.”,Viral image,"August 4, 2020",barely-true
583,Miriam Valverde,"“You know what’s in this bill? No medical malpractice suits until 2024, even if they’re not COVID related.”",Charles Schumer,"August 3, 2020",barely-true
584,Clara Hendrickson,"Says Haley Stevens’ plan for “socialized medicine” would “eliminate 100,000 doctors and nurses.”",Eric Esshaki,"August 3, 2020",barely-true
585,Jon Greenberg,"Under an executive order, “expensive insulin went from big dollars to virtual pennies … especially (for) our seniors.”",Donald Trump,"August 3, 2020",barely-true
586,Bill McCarthy,"“Mississippi got 10,145 warrants for unemployment fraud!!”",Facebook posts,"July 31, 2020",barely-true
587,Tom Kertscher,“Florida is doing over five times better” than New Jersey and New York in COVID-19 deaths per million people.,Facebook posts,"July 31, 2020",barely-true
588,Samantha Putterman,"The longest filibuster in U.S. history was 75 days and “took place in 1964, when Democrats tried to block the Civil Rights Act.”",Facebook posts,"July 30, 2020",barely-true
589,Madison Czopek,Michigan House “passes bill to ‘voluntarily’ begin placing human implantable microchips into the bodies of all state government employees”,Facebook posts,"July 27, 2020",barely-true
590,Louis Jacobson,“We're setting record job numbers.”,Donald Trump,"July 24, 2020",barely-true
591,Caleb McCullough,"The estate tax ""would punish family farms and small businesses, forcing them to be sold off instead of passed on to the next generation.”",National Republican Senatorial Committee,"July 23, 2020",barely-true
